PLACE,state,utility_name,number,pwsid,total_monitoring_and_reporting_other_violations,total_health_based_violations,more_than_5_violations,IF_MORE_THAN_5_year_of_most_recent_violation,IF_MORE_THAN_5_number_of_violations_2016.2020,VIO_Missing,ERROR_CrossChecked_NoViolationData,IF_LESS_THAN_5_number_vio_2016.2020,IF_LESS_THAN_5_year_of_most_recent_violation,Comments,services_provided,county,institutional_arrangement,rate_change_water,rate_change_sewer,year_or_date_of_last_rates_change,median_household_income_in_2017_u_s_census_bureau,approx_number_of_water_connections_epa_sdwis,service_population_approx,source_water,notes_and_assumptions_about_rates_and_calculated_bills,billing_period_water,base_charge_pricing_water,monthly_gallons_provided_with_base_charge_allowance_water,water_rate_structure,number_of_blocks_water,first_block_maximum_monthly_gallons_water,outside_inside_bill_differential_at_5_000_gallons_water,water_zero_gallons_0_cf,water_zero_gallons_outside_0_cf,water_3_000gallons_401_cf,water_3_000gallons_outside_401_cf,water_4_000gallons_535_cf,water_4_000gallons_outside_535_cf,water_5_000gallons_668_cf,water_5_000gallons_outside_668_cf,water_7_000gallons_936_cf,water_7_000gallons_outside_936_cf,water_10_000gallons_1_337_cf,water_10_000gallons_outside_1_337_cf,water_15_000gallons_2_005_cf,water_15_000gallons_outside_2_005_cf,billing_period_sewer,base_charge_pricing_sewer,monthly_gallons_provided_with_base_charge_allowance_sewer,sewer_rate_structure,number_of_blocks_sewer,first_block_maximum_monthly_gallons_sewer,outside_inside_bill_differential_at_5_000_gallons_sewer,sewer_zero_gallons_0_cf,sewer_zero_gallons_outside_0_cf,sewer_3_000gallons_401_cf,sewer_3_000gallons_outside_401_cf,sewer_4_000gallons_535_cf,sewer_4_000gallons_outside_535_cf,sewer_5_000gallons_668_cf,sewer_5_000gallons_outside_668_cf,sewer_7_000gallons_936_cf,sewer_7_000gallons_outside_936_cf,sewer_10_000gallons_1_337_cf,sewer_10_000gallons_outside_1_337_cf,sewer_15_000gallons_2_005_cf,sewer_15_000gallons_outside_2_005_cf,operating_ratio_fy2018_water,operating_ratio_fy2018_sewer,date_of_last_rates_change,median_household_income_in_2016_census_bureau,implied_rate_structure_for_residential_usage_15_000_gallons_month_water,outside_inside_bill_differential_at_6_000_gallons_water,oper_revenue_oper_expense_inc_depreciation_water,water_6_000gallons_802_cf,water_6_000gallons_outside_802_cf,wastewater_rate_structure,implied_rate_structure_for_residential_usage_15_000_gallons_month_sewer,outside_inside_bill_differential_at_6_000_gallons_sewer,oper_revenue_oper_expense_inc_depreciation_sewer,sewer_6_000gallons_802_cf,sewer_6_000gallons_outside_802_cf,x2016_median_household_income_census,x2016_median_house_value_wi_department_of_revenue,estimated_service_population_epa,number_of_accounts_psc,primary_county,water_planning_region_name,implied_uniform_rate_rate_structure_for_residential_usage_15_000_gals_month,oper_revenue_oper_expense_fy2016,monthly_public_fire_protection_charge,water_1_000gallons_137_cf,water_2_000gallons_267_cf,water_8_000gallons_1_069_cf,water_9_000gallons_1_203_cf,old_institutional_arrangement,old_source_water,old_billing_period_water,monthly_bill,old_water_rate_structure,old_billing_period_sewer,old_sewer_rate_structure,STATE.x,noviolations,NEWMostRecentViolationYear,NEWViolations2016.2020,newviolations_2016_2020,finmostrecentviolationyear,No.CDP,CountyCensusData,BinaryCoLoc,CensusPop_fin,PropNonWhite_All_Census_fin,NonWhite_All_Census_fin,PropNonWhite_no2plus_Census_fin,NonWhite_no2plus_Census_fin,PropHispLat_Census_fin,MedHHI_Census_fin,Under100PovLevel_fin,PropUnder100PovLevel_fin,Under150PovLevel_fin,PropUnder150PovLevel_fin,Under200PovLevel_fin,PropUnder200PovLevel_fin,GiniIndex_Census_fin,CensusWhiteProp_fin,CensusBlackProp_fin,CensusAmIndAKProp_fin,CensusAsianProp_fin,CensusNHPIProp_fin,CensusOtherProp_fin,Census2plusProp_fin,Census2plusOtherProp_fin
Chattooga County,GA,Chattooga County Water District,91,GA0550000,0,0,N,NA,NA,,,NA,NA,,W,Chattooga County,Other_Govt,Yes,NA,2/1/2019,35718,3000,7800,GW,"Rates for Routes 1-9, does not include Cloudland and Gore Subligna Rates.",Monthly,Constant,2000,Increasing/Decreasing Block,3,3000,NA,15.19,NA,19.31,NA,23.84,NA,28.37,NA,37.43,NA,51.2,NA,68.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,County/District,GW,Monthly,1,Increasing/Decreasing Block,NA,NA,NA,1,NA,0,0,NA,TRUE,1,1,24812,0.142713203,3541,0.128969853,3200,0.051507335,36807,4415,0.193827377,8101,0.355650189,11815,0.518702257,0.4476,0.857286797,0.104505884,0.001410608,0.001692729,0,0.021360632,0.01374335,0.001531517
Chauncey city,GA,Chauncey,94,GA0910000,1,0,N,NA,NA,,,0,2015,,W,Dodge County,Municipality,No,NA,5/1/2009,32813,117,294,GW,NA,Monthly,Constant,4000,Uniform Rate,NA,NA,NA,18,NA,18,NA,18,NA,2,NA,24,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Uniform Rate,NA,NA,Georgia,0,2015,0,0,2015,FALSE,0,0,359,0.440111421,158,0.401114206,144,0.111420613,33125,103,0.286908078,242,0.674094708,255,0.710306407,0.4383,0.559888579,0.401114206,0,0,0,0,0.038997214,0
Cherokee County,GA,Cherokee County Water and Sewerage Authority,95,GA0570002,0,0,N,NA,NA,,,NA,NA,,B,Cherokee County,Other_Govt,Yes,Yes,1/1/2019,75664,72959,189681,Other,Irrigation base charges include $3.00 back flow maintenance fee.,Monthly,By Meter Size,0,Increasing Block,3,2000,NA,1,NA,17.7,NA,23.1,NA,28.5,NA,39.3,NA,55.5,NA,88,NA,Monthly,By Meter Size,2000,Uniform Rate,NA,NA,NA,12.6,NA,19.75,NA,26.9,NA,34.5,NA,48.35,NA,69.8,NA,15.55,NA,1.23,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Authority,P,Monthly,1,Increasing Block,Monthly,Uniform Rate,NA,1,NA,0,0,NA,TRUE,1,1,247515,0.136747268,33847,0.112538634,27855,0.105221906,82740,18356,0.074762549,31917,0.129995438,49365,0.201059774,0.4078,0.863252732,0.06978971,0.004262368,0.018067592,0.00049694,0.019922025,0.024208634,0.003151324
Chester town,GA,Chester,96,GA0910001,3,0,N,NA,NA,,,1,2016,,B,Dodge County,Municipality,No,No,12/18/2000,20417,229,1813,GW,NA,Monthly,Constant,3000,Uniform Rate,NA,NA,NA,4.5,NA,4.5,NA,5.5,NA,6.5,NA,8.5,NA,11.5,NA,16.5,NA,Monthly,Constant,3000,Uniform Rate,NA,NA,NA,4.5,NA,4.5,NA,4.55,NA,4.6,NA,4.7,NA,4.85,NA,5.1,NA,0.81,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Uniform Rate,Monthly,Uniform Rate,Georgia,0,2016,1,1,2016,FALSE,0,0,2102,0.678401522,1426,0.676022835,1421,0.022359657,17692,233,0.481404959,330,0.681818182,348,0.719008264,0.5858,0.321598478,0.655566127,0,0.002378687,0,0.018078021,0.002378687,0
Chetek city,WI,Chetek,98,WI6030129,0,0,N,NA,NA,,,NA,NA,,W,NA,Municipality,NA,NA,12/28/2009,NA,NA,1931,GW,NA,Monthly,Constant,0,Decreasing Block,3,18000,NA,14.48,NA,24.77,NA,28.2,NA,31.63,NA,38.49,NA,48.78,NA,65.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.06,NA,NA,NA,NA,NA,NA,NA,38644,114700,1931,987,Barron,West Central,Implied Uniform Rate,1.35,9.18,17.91,21.34,41.92,45.35,Municipality,G,Monthly,1,Decreasing Block,NA,NA,Wisconsin,1,NA,0,0,NA,FALSE,0,0,2169,0.034578147,75,0.034578147,75,0.008759797,55625,250,0.120772947,430,0.207729469,822,0.397101449,0.417,0.965421853,0.006915629,0.015214385,0.012448133,0,0,0,0
Chickamauga city,GA,Chickamauga,97,GA2950000,0,0,N,NA,NA,,,NA,NA,,B,Walker County,Municipality,No,No,5/1/2018,48469,2224,4150,GW,NA,Monthly,Constant,0,Increasing Block,2,5000,1.282738095,9.56,13.6,15.92,2.74,18.4,23.3,2.16,25.86,24.88,32.12,31.96,41.51,43.76,57.16,Monthly,Constant,0,Increasing Block,2,5000,1.402652771,1.56,14.56,16.89,23.59,19,26.6,21.11,29.61,25.81,36.11,32.86,45.86,44.61,62.11,1.26,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Increasing Block,Monthly,Increasing Block,Georgia,1,NA,0,0,NA,FALSE,0,0,3249,0,0,0,0,0,50101,642,0.197599261,959,0.295167744,1257,0.386888273,0.4022,1,0,0,0,0,0,0,0
Chilton city,WI,Chilton,99,WI4080222,0,0,N,NA,NA,,,NA,NA,,W,NA,Municipality,Yes,NA,12/15/2017,NA,NA,3933,GW,NA,Quarterly,Constant,0,Decreasing Block,5,16667,NA,13.15,NA,23.59,NA,27.07,NA,30.55,NA,37.51,NA,47.95,NA,65.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.03,NA,NA,NA,NA,NA,NA,NA,50000,162600,3933,1615,Calumet,East Central,Implied Uniform Rate,1.08,8.05,16.63,20.11,40.99,44.47,Municipality,G,Quarterly,0,Decreasing Block,NA,NA,Wisconsin,1,NA,0,0,NA,FALSE,0,0,3831,0.01018011,39,0.004437484,17,0.048551292,52005,421,0.113111231,801,0.215206878,1091,0.293121977,0.4617,0.98981989,0.001827199,0.002610285,0,0,0,0.005742626,0
Chino Valley town,AZ,Quail Ridge Domestic Water Improvement District,315,AZ0413307,7,0,Y,2019,4,,,NA,NA,,W,La Paz,Other_Govt,NA,NA,7/1/2012,49012,173,333,GW,NA,Monthly,Constant,1000,Uniform Rate,NA,NA,NA,35,NA,42.3,NA,45.95,NA,49.6,NA,56.9,NA,67.85,NA,86.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DWID,Groundwater,M,1,Uniform Rate,NA,NA,Arizona,0,2019,4,4,2019,FALSE,0,0,11670,0.080205656,936,0.06538132,763,0.192973436,49631,1020,0.087666523,2694,0.231542759,3972,0.341383756,0.4227,0.919794344,0.003256213,0.001799486,0.018594687,0,0.041730934,0.014824336,0.000257069
Chino Valley town,AZ,Chino Valley,79,AZ0413137,14,0,Y,2019,5,,,NA,NA,,B,Yavapai,Municipality,Yes,No,7/1/2019,49012,701,1957,GW,NA,Monthly,By Meter Size,0,Increasing Block,3,8000,NA,5.78,NA,19.91,NA,24.62,NA,29.33,NA,38.75,NA,55.24,NA,84.69,NA,Monthly,By Meter Size,0,Non-Volumetric Flat Fee,NA,NA,NA,62.14,NA,62.14,NA,62.14,NA,62.14,NA,62.14,NA,62.14,NA,62.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,Groundwater,M,1,Increasing Block,M,Non-Volumetric Flat Fee,Arizona,0,2019,5,5,2019,FALSE,0,0,11670,0.080205656,936,0.06538132,763,0.192973436,49631,1020,0.087666523,2694,0.231542759,3972,0.341383756,0.4227,0.919794344,0.003256213,0.001799486,0.018594687,0,0.041730934,0.014824336,0.000257069
Chino Valley town,AZ,Chino Meadows II Water Company,78,AZ0413079,8,0,Y,2018,3,,,NA,NA,,W,Yavapai,For_Profit,Yes,NA,12/1/2016,49012,914,2350,GW,NA,Monthly,Constant,0,Increasing Block,3,3000,NA,17.55,NA,26.31,NA,30.25,NA,34.19,NA,42.07,NA,53.89,NA,80.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Increasing Block,NA,NA,Arizona,0,2018,3,3,2018,FALSE,0,0,11670,0.080205656,936,0.06538132,763,0.192973436,49631,1020,0.087666523,2694,0.231542759,3972,0.341383756,0.4227,0.919794344,0.003256213,0.001799486,0.018594687,0,0.041730934,0.014824336,0.000257069
Chippewa Falls city,WI,Chippewa Falls,100,WI6090456,2,0,N,NA,NA,,Y,2,2016,,W,NA,Municipality,NA,NA,1/1/2015,NA,NA,13375,GW,NA,Quarterly,Constant,0,Decreasing Block,4,7480,NA,11.33,NA,17.35,NA,19.35,NA,21.36,NA,25.37,NA,31.15,NA,40.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.36,NA,NA,NA,NA,NA,NA,NA,39247,116600,13375,5798,Chippewa,West Central,Decreasing Block,1.24,4.93,13.34,15.34,27.32,29.24,Municipality,G,Quarterly,0,Decreasing Block,NA,NA,Wisconsin,0,2016,2,2,2016,FALSE,0,0,14101,0.071555209,1009,0.050492873,712,0.016736402,46909,1976,0.148482116,3029,0.227607454,4975,0.373835287,0.4099,0.928444791,0.032267215,0.002269343,0.013545139,0,0.002411177,0.021062336,0
Cibola CDP,AZ,Cibola Mutual Water Company,80,AZ0415123,36,31,Y,2020,38,,,NA,NA,,W,La Paz,For_Profit,No,NA,7/25/2014,39301,199,162,SW,NA,Monthly,By Meter Size,0,Increasing Block,3,8000,NA,25,NA,37,NA,41,NA,45,NA,53,NA,67.5,NA,93.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Surface Water,M,1,Increasing Block,NA,NA,Arizona,0,2020,38,38,2020,FALSE,0,0,355,0.061971831,22,0.028169014,10,0.625352113,39118,35,0.098591549,166,0.467605634,257,0.723943662,0.4224,0.938028169,0,0,0.028169014,0,0,0.033802817,0
Citrus Park CDP,AZ,Citrus Park Water Company,83,AZ0414107,2,15,Y,2020,25,,,NA,NA,,W,Maricopa,For_Profit,No,NA,1/1/2001,108781,30,30,GW,NA,Monthly,By Meter Size,0,Uniform Rate,NA,NA,NA,20,NA,24.5,NA,26,NA,27.5,NA,30.5,NA,35,NA,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Uniform Rate,NA,NA,Arizona,0,2020,25,25,2020,FALSE,0,0,5376,0.084821429,456,0.08296131,446,0.155691964,108750,172,0.032276224,486,0.091199099,959,0.179958716,0.3405,0.915178571,0.021949405,0.002232143,0.023809524,0,0.034970238,0.001860119,0
Claremont city,NH,Claremont - Water and Sewer,28,NH0461010,0,2,N,NA,NA,,,0,2014,,B,NA,Municipality,NA,NA,NA,NA,3600,9000,SW,Utility also offers a semi-annual flat rate of $277.50 for water and $359 for sewer for unmetered customers.,Other,By Meter Size,0,Increasing/Decreasing Block,4,2493.333333,NA,4.37,NA,NA,NA,23.65,NA,31.13,NA,NA,NA,68.57,NA,106,NA,Other,Constant,0,NA,NA,NA,NA,16.33,NA,NA,NA,47.88,NA,55.77,NA,NA,NA,95.21,NA,134.65,NA,NA,NA,7/1/2017,47555,Increasing/Decreasing Block,NA,1.13,38.62,NA,Uniform Rate,Uniform Rate,NA,1.13,63.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,S,Semi-annually,0,Increasing/Decreasing Block,Semi-annually,NA,New Hampshire,0,2014,0,0,2014,FALSE,0,0,12977,0.038606766,501,0.024504893,318,0.022501349,47649,2117,0.164350594,3592,0.278860337,4782,0.371244469,0.4157,0.961393234,0.020112507,0,0.004392387,0,0,0.014101873,0
Clarkdale town,AZ,Clarkdale,84,AZ0413024,12,0,Y,2018,6,,,NA,NA,,B,Yavapai,Municipality,No,Yes,5/22/2018,45901,1585,3938,GW,Utility also has raw water conservation rates not modeled here. Water base charge includes surcharge.,Monthly,By Meter Size,1000,Increasing Block,7,5000,NA,35.28,NA,45.2,NA,50.16,NA,55.12,NA,65.42,NA,80.87,NA,116.92,NA,Monthly,Constant,0,Non-Volumetric Flat Fee,NA,NA,NA,54,NA,54,NA,54,NA,54,NA,54,NA,54,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,Groundwater,M,1,Increasing Block,M,Non-Volumetric Flat Fee,Arizona,0,2018,6,6,2018,FALSE,0,0,4271,0.106298291,454,0.102786233,439,0.088738,49383,330,0.077283372,1103,0.258313817,1453,0.34028103,0.4188,0.893701709,0.019667525,0.054788106,0.0100679,0,0.018262702,0.003512058,0
Clarkesville city,GA,Clarkesville,98,GA1370002,0,0,N,NA,NA,,,NA,NA,,B,Habersham County,Municipality,Yes,Yes,3/1/2019,43711,2225,5785,SW,NA,Monthly,Constant,2000,Uniform Rate,NA,NA,1.893903671,15.38,28.66,2.15,37.85,24.92,47.4,29.69,56.23,39.23,74.61,53.54,12.18,77.39,148.13,Monthly,Constant,2000,Uniform Rate,NA,NA,1.912152269,17.5,32.99,23.5,43.76,28.6,54.53,34.15,65.3,45.25,86.84,61.9,119.15,89.65,173,1.21,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,SW,Monthly,1,Uniform Rate,Monthly,Uniform Rate,Georgia,1,NA,0,0,NA,FALSE,0,0,1754,0.099201824,174,0.082098062,144,0.022805017,44293,313,0.189582071,472,0.285887341,706,0.427619624,0.4722,0.900798176,0.078677309,0,0.003420753,0,0,0.017103763,0
Claxton city,GA,Claxton,99,GA1090001,28,1,Y,NA,NA,Y,Y,NA,NA,,B,Evans County,Municipality,No,No,6/30/2019,33843,1710,3928,GW,NA,Monthly,Constant,3000,Increasing Block,4,5000,1.559907834,14.2,24.55,14.2,24.55,17.95,29.2,21.7,33.85,29.4,43.35,41.15,57.8,61.15,82.3,Monthly,Constant,3000,Increasing Block,4,5000,1.453917051,14.2,22.25,14.2,22.25,17.95,26.9,21.7,31.55,29.4,41.5,41.15,55.5,61.15,8,0.93,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Increasing Block,Monthly,Increasing Block,Georgia,0,NA,NA,NA,NA,FALSE,0,0,2665,0.525703565,1401,0.517073171,1378,0.099812383,37778,830,0.315469403,1286,0.488787533,1383,0.525655644,0.4291,0.474296435,0.408630394,0,0.009380863,0,0.099061914,0.008630394,0
Clay County,GA,Clay County,100,GA0610029,2,0,N,NA,NA,,,0,2015,,W,Clay County,Other_Govt,No,NA,8/2/2016,23315,340,981,GW,Only serves outside customers.,Monthly,Constant,0,Increasing Block,6,2000,NA,16.7,NA,22.95,NA,25.2,NA,27.45,NA,32.45,NA,39.95,NA,54.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,County/District,GW,Monthly,1,Increasing Block,NA,NA,NA,0,2015,0,0,2015,TRUE,1,1,2951,0.642155202,1895,0.639783124,1888,0.00372755,22325,1144,0.394755003,1558,0.537612146,1915,0.660800552,0.4824,0.357844798,0.62385632,0,0.010166045,0,0.005760759,0.002372077,0
Clay Springs CDP,AZ,Clay Springs Domestic Water Improvement District,85,AZ0409009,45,0,Y,2019,21,,,NA,NA,,W,Navajo,Other_Govt,No,NA,11/6/2010,NA,147,380,GW,NA,Monthly,Constant,2500,Decreasing Block,2,10000,NA,30,NA,31.83,NA,35.48,NA,39.13,NA,46.43,NA,57.38,NA,69.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DWID,Groundwater,M,1,Decreasing Block,NA,NA,Arizona,0,2019,21,21,2019,FALSE,0,0,523,0,0,0,0,0.063097514,41023,126,0.240917782,290,0.554493308,290,0.554493308,0.2847,1,0,0,0,0,0,0,0
Clayton city,GA,Clayton,101,GA2410000,0,0,N,NA,NA,,,NA,NA,,B,Rabun County,Municipality,Yes,No,7/1/2017,30617,3153,7225,Other,Has senior discount rates.,Monthly,By Meter Size,2000,Increasing Block,4,6000,1.294356767,23.7,33.13,29.32,4.13,35.57,47.13,41.82,54.13,54.62,68.92,75.41,93.5,112.66,135.6,Monthly,By Meter Size,2000,Increasing Block,4,6000,1.282376126,2.25,28.48,25.34,34.17,3.43,39.86,35.52,45.55,46.32,57.92,64.3,78.62,95.53,115.42,0.95,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,P,Monthly,1,Increasing Block,Monthly,Increasing Block,Georgia,1,NA,0,0,NA,FALSE,0,0,1968,0.067581301,133,0.06402439,126,0.085873984,33417,402,0.214628938,775,0.413774693,1011,0.539775761,0.5679,0.932418699,0.007113821,0,0,0,0.056910569,0.003556911,0
Clayton County,GA,Clayton County Water Authority,102,GA0630000,0,2,N,NA,NA,,,0,2014,,B,Clayton County,Other_Govt,Yes,No,5/1/2019,43009,77652,270000,SW,NA,Monthly,Constant,1000,Increasing Block,4,3000,NA,1.5,NA,14.79,NA,2.47,NA,26.15,NA,37.51,NA,58.6,NA,93.75,NA,Monthly,Constant,0,Increasing Block,2,3000,NA,1.73,NA,18.41,NA,24.43,NA,3.45,NA,42.49,NA,6.55,NA,9.65,NA,1.46,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Authority,SW,Monthly,1,Increasing Block,Monthly,Increasing Block,NA,0,2014,0,0,2014,TRUE,1,1,283538,0.836536902,237190,0.80619529,228587,0.132169233,47864,51525,0.185719847,90013,0.324448337,128341,0.462600114,0.4147,0.163463098,0.693011166,0.001636465,0.051464001,0.000871135,0.059212522,0.030341612,0.004330989
Clayton village,WI,Clayton,101,WI6490334,0,0,N,NA,NA,,,NA,NA,,W,NA,Municipality,NA,NA,7/15/2012,NA,NA,765,GW,NA,Quarterly,Constant,0,Decreasing Block,3,8333,NA,20.58,NA,26.01,NA,27.82,NA,29.63,NA,33.25,NA,38.02,NA,45.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.44,NA,NA,NA,NA,NA,NA,NA,40625,100000,765,295,Polk,West Central,Decreasing Block,1.15,14.08,22.39,24.2,35.06,36.61,Municipality,G,Quarterly,0,Decreasing Block,NA,NA,NA,1,NA,0,0,NA,FALSE,0,0,424,0,0,0,0,0.014150943,42500,38,0.091566265,146,0.351807229,182,0.438554217,0.3753,1,0,0,0,0,0,0,0
Clear Lake village,WI,Clear Lake,102,WI6490335,0,0,N,NA,NA,,,NA,NA,,W,NA,Municipality,NA,NA,3/18/2014,NA,NA,1061,GW,NA,Monthly,Constant,0,Decreasing Block,4,10000,NA,11.65,NA,16.51,NA,18.13,NA,19.75,NA,22.99,NA,27.85,NA,34.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.37,NA,NA,NA,NA,NA,NA,NA,39145,102100,1061,471,Polk,West Central,Decreasing Block,1.38,7.45,13.27,14.89,24.61,26.23,Municipality,G,Monthly,1,Decreasing Block,NA,NA,Wisconsin,1,NA,0,0,NA,FALSE,0,0,1078,0.010204082,11,0.003710575,4,0.002782931,47054,251,0.234360411,344,0.321195145,451,0.421101774,0.3838,0.989795918,0,0,0.003710575,0,0,0.006493506,0.002782931
Cleveland city,GA,Cleveland,103,GA3110000,0,0,N,NA,NA,,,NA,NA,,B,White County,Municipality,No,No,3/9/2015,38228,3828,4906,Other,NA,Monthly,By Meter Size,2000,Increasing Block,3,4000,1.497160558,12.69,19.87,14.9,22.89,17.11,25.91,19.37,29,23.95,35.26,3.91,44.77,42.51,6.62,Monthly,By Meter Size,2000,Increasing Block,3,4000,1.729180546,19.67,35.57,23.1,4.98,26.52,46.38,3.2,51.91,37.12,63.12,47.91,8.14,65.89,18.51,1.01,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,P,Monthly,1,Increasing Block,Monthly,Increasing Block,NA,1,NA,0,0,NA,FALSE,0,0,3920,0.081632653,320,0.063520408,249,0.032653061,39431,841,0.229718656,1199,0.327506146,1779,0.485932805,0.4542,0.918367347,0.031887755,0.02372449,0.007908163,0,0,0.018112245,0
Cleveland village,WI,Cleveland,103,WI4360426,0,0,N,NA,NA,,,NA,NA,,W,NA,Municipality,Yes,NA,12/26/2017,NA,NA,1518,GW,NA,Monthly,Constant,0,Decreasing Block,3,10000,NA,20.05,NA,34.36,NA,39.13,NA,43.9,NA,53.44,NA,67.75,NA,84.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.67,NA,NA,NA,NA,NA,NA,NA,62070,152100,1518,667,Manitowoc,East Central,Decreasing Block,0.95,9.8,24.82,29.59,58.21,62.98,Municipality,G,Monthly,1,Decreasing Block,NA,NA,NA,1,NA,0,0,NA,FALSE,0,0,1606,0.015566625,25,0.003113325,5,0.143835616,73000,39,0.024375,186,0.11625,405,0.253125,0.3462,0.984433375,0.001867995,0,0.00124533,0,0,0.0124533,0.00249066
